Lorna Goodison,lgoodison,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
lgoodison,Tamarind Season: Poems,1980,English,Institute of Jamaica,Kingston,Jamaica,kingston_jamaica,Poetry Collection,n,,
lgoodison,I Am Becoming My Mother,1986,English,New Beacon Books,London,England,london_ldn_england,Poetry Collection,n,,
lgoodison,Lorna Goodison: For A Reading Of Published And New Writings.,1989,English,Research Institute for the Study of Man,"New York, NY",United States,new_york_ny_united_states,NA,n,,
lgoodison,Heartease: Lorna Goodison,1988,English,New Beacon Books,London,England,london_ldn_england,Poetry Collection,n,62,
lgoodison,Travelling Mercies,2002,English,Ian Randle Publishers,Kingston,Jamaica,kingston_jamaica,Poetry Collection,n,104,
lgoodison,Fool-Fool Rose Is Leaving Labour-In-Vain Savannah,2005,English,Ian Randle Publishers,Kingston,Jamaica,kingston_jamaica,Fiction (Short Story Collection),n,192,
lgoodison,Redemption Ground: Essays And Adventures,2018,English,Myriad Editions,London,England,london_ldn_england,Nonfiction Book,n,224,
lgoodison,"New Voices: Selected By Lorna Goodison, Poet Laureate Of Jamaica, 2017-2020",2020,English,The University of the West Indies Press,Kingston,Jamaica,kingston_jamaica,Poetry Collection,n,106,
lgoodison,By Love Possessed,2012,English,Emblem,Toronto,Canada,toronto_canada,Fiction (Short Story Collection),n,264,
lgoodison,Collected Poems,2017,English,Carcanet Press,Manchester,England,manchester_england,Poetry Collection,n,960,
lgoodison,"To Us, All Flowers Are Roses",1995,English,University of Illinois Press,"Urbana, IL",United States,urbana_il_united¬†states,Poetry Collection,n,88,
lgoodison,Guinea Woman,2004,English,ProQuest LLC,Cambridge,England,cambridge_england,Poetry Collection,n,96,
lgoodison,Jungfernbraun Gedichte,1994,German,Peter Hammer Verlag,Wuppertal,Germany,wuppertal_germany,Anthology,y,224,
lgoodison,I Come Through: Stories,2009,English,McClelland & Stewart,Toronto,Canada,toronto_canada,Fiction (Short Story Collection),n,288,
lgoodison,Oracabessa,2013,English,Carcanet Press Ltd.,Manchester,England,manchester_england,Poetry Collection,n,160,
lgoodison,La Mangue De La Poesie,2019,French,Presses Universitaires de Bordeaux,Pessac,France,pessac_france,Poetry Collection,y,120,"Ollier, Nicole"
